公司,标题,价格,销量,星级,地址,链接,当前链接,上级链接,下载时间
义乌市少庭制尺有限公司,,"
 ¥0.06
 ",147万,6年,,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
广州祥达生物科技有限公司,,"
 ¥0.60
 ",48.7万,2年,,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
东光县玉华塑料厂,,"
 ¥0.02
 ",22.0万,7年,,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
温县七星鞋业有限公司,,"
 ¥4.60
 ",61.9万,10年,河南温县,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
深圳市越昌科技有限公司,,"
 ¥0.95
 ",18.5万,5年,,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
苍南县龙港信义制袋厂,,"
 ¥0.58
 ",2.01万,1年,浙江温州市,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
惠东县大岭镇佳宁鞋厂,,"
 ¥33.00
 ",66.6万,4年,,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
金华市康婴宝母婴用品有限公司,,"
 ¥4.30
 ",7.78万,2年,,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
温岭市联树工艺鞋厂,,"
 ¥17.00
 ",48.4万,2年,,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
义乌市浩发电子商务商行,,"
 ¥4.50
 ",9.03万,1年,浙江金华市,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
武安市虎行天下服装有限公司,,"
 ¥0.85
 ",4.04万,5年,浙江义乌市,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
泉州市汉蒂鞋业有限公司,,"
 ¥59.00
 ",71.2万,1年,福建晋江市,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
偃师市山化镇东屯村步龙轩鞋厂,,"
 ¥9.80
 ",11.2万,3年,河南偃师市,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
阳江市江城区嘉美惠五金塑胶厂,,"
 ¥4.20
 ",14.3万,7年,广东阳江市,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
惠东县大岭镇佳宁鞋厂,,"
 ¥35.00
 ",24.1万,4年,,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
河南老马哥电子商务有限公司,,"
 ¥8.50
 ",6.67万,2年,河南洛阳市,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
台州市黄岩森辉鞋厂,,"
 ¥33.00
 ",28.8万,1年,浙江温岭市,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
上海市金山区朱泾镇耐久皮具店,,"
 ¥5.50
 ",9.51万,5年,浙江嘉善县,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
温州市瓯海仙岩奔牛鞋厂,,"
 ¥50.00
 ",23.6万,4年,温州市瓯海区,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
瑞安市一叶知秋电子商务有限公司,,"
 ¥30.00
 ",18.5万,2年,,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
望都县瑞步鞋业有限公司,,"
 ¥18.00
 ",8.18万,2年,河北保定市,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
惠东县大岭镇鑫伟腾鞋厂,,"
 ¥50.00
 ",42.8万,3年,,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
义乌市慕昌电子商务商行,,"
 ¥12.50
 ",7.58万,2年,浙江金华市,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
望都县明瑜鞋店,,"
 ¥14.00
 ",4.13万,2年,河北保定市,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
惠州市哈韩实业有限公司,,"
 ¥52.00
 ",11.2万,3年,广东惠东县,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
台州市黄岩鼎鸣鞋厂,,"
 ¥12.00
 ",2.65万,1年,浙江温岭市,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
望都县酷迈商贸有限公司,,"
 ¥14.25
 ",3.17万,4年,河北望都县,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
夏振加,,"
 ¥13.00
 ",14.1万,8年,浙江义乌市,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
深圳市龙岗区百分丽人鞋厂,,"
 ¥38.00
 ",12.5万,3年,广东惠东县,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
晋江凯阳鞋服有限公司,,"
 ¥48.00
 ",42.6万,2年,,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
惠东县大岭镇金尚鞋厂,,"
 ¥45.00
 ",10.9万,4年,广东惠东县,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
泉州迈可商贸有限公司,,"
 ¥40.00
 ",8.52万,2年,福建泉州市,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
瑞安市潮人鞋业有限公司,,"
 ¥35.00
 ",11.4万,3年,,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
广州梵司哲箱包有限公司,,"
 ¥64.00
 ",37.4万,5年,,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
望都县康城鞋业有限公司,,"
 ¥9.00
 ",4.68万,2年,河北望都县,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
台州市黄岩莱速贸易商行,,"
 ¥19.00
 ",28.2万,2年,浙江温岭市,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
保定恒升箱包制造有限公司,,"
 ¥13.00
 ",20.7万,2年,河北保定市,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
义乌市水古电子商务商行,,"
 ¥43.90
 ",6.46万,2年,浙江义乌市,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
望都县康城鞋业有限公司,,"
 ¥13.00
 ",8.67万,2年,河北望都县,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
焦作市玉兰鞋业有限公司,,"
 ¥12.00
 ",2.93万,3年,河南温县,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
新兴县东成镇鑫泽皮具厂,,"
 ¥3.99
 ",7543,2年,广东新兴县,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
浙江康美佳鞋业有限公司,,"
 ¥90.78
 ",29.8万,3年,,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
望都县明瑜鞋店,,"
 ¥11.00
 ",2.45万,2年,河北保定市,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
义乌市天勤皮具有限公司,,"
 ¥11.00
 ",10.9万,2年,浙江义乌市,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
瑞安市雷盛鞋厂,,"
 ¥29.00
 ",4.73万,1年,浙江瑞安市,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
保定白沟新城欧思曼箱包制品厂,,"
 ¥17.00
 ",28.8万,4年,河北高碑店市,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
台州魅雅鞋业有限公司,,"
 ¥26.00
 ",3.09万,1年,浙江温岭市,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
广州古宾图皮具有限公司,,"
 ¥41.00
 ",24.4万,2年,,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
乐清市柳市千宝鞋厂,,"
 ¥48.00
 ",7.85万,1年,浙江乐清市,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
瑞安市长枫鞋厂,,"
 ¥27.00
 ",2.84万,1年,浙江瑞安市,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
瑞安市凯克丰德鞋店,,"
 ¥16.66
 ",1.67万,2年,浙江温州市,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
泉州市伊媚儿鞋业有限公司,,"
 ¥105.00
 ",32.7万,2年,福建泉州市,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
瑞安市凯克丰德鞋店,,"
 ¥16.46
 ",2.64万,2年,浙江温州市,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
保定白沟新城茂源箱包厂,,"
 ¥15.00
 ",9.71万,1年,,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
义乌市浩水电子商务商行,,"
 ¥46.08
 ",22.6万,2年,浙江义乌市,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
武汉芊年美丽鞋业有限公司,,"
 ¥65.00
 ",31.0万,3年,,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
苍南县金利福鞋业有限公司,,"
 ¥60.00
 ",23.4万,8年,,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
台州市黄岩运成鞋业有限公司,,"
 ¥23.00
 ",6.73万,4年,浙江温岭市,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
苍南县龙港舒而美鞋厂,,"
 ¥21.78
 ",2.24万,2年,浙江温岭市,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
苍南县龙港金灿硕鞋厂,,"
 ¥28.00
 ",7.05万,2年,浙江温州市,,"http://s.1688.com/selloffer/offer_search.htm?enableAsync=false&earseDirect=false&button_click=top&pageSize=60&n=y&offset=3&uniqfield=pic_tag_id&keyins=	
&beginPage=1",,2017-10-05 21:50:33
